design_id,temperature_K,pressure_bar,residence_time_ms,equivalence_ratio,cracking_ratio,psr_fraction,heat_loss_W_per_K,design_role
reactor_0183,750,20,20,0.7,0.1,0.5,0.5,thermal_residence_sensitivity
reactor_0184,750,20,20,0.7,0.1,0.5,2.0,thermal_residence_sensitivity
reactor_0185,600,5,5,1.0,0.3,0.5,0.0,thermal_residence_sensitivity
reactor_0186,600,5,5,1.0,0.3,0.5,0.5,thermal_residence_sensitivity
reactor_0187,600,5,5,1.0,0.3,0.5,2.0,thermal_residence_sensitivity
reactor_0188,600,5,20,1.0,0.3,0.5,0.0,thermal_residence_sensitivity
reactor_0189,600,5,20,1.0,0.3,0.5,0.5,thermal_residence_sensitivity
reactor_0190,600,5,20,1.0,0.3,0.5,2.0,thermal_residence_sensitivity
reactor_0191,600,20,5,1.0,0.3,0.5,0.0,thermal_residence_sensitivity
reactor_0192,600,20,5,1.0,0.3,0.5,0.5,thermal_residence_sensitivity
reactor_0193,600,20,5,1.0,0.3,0.5,2.0,thermal_residence_sensitivity
reactor_0194,600,20,20,1.0,0.3,0.5,0.0,thermal_residence_sensitivity
reactor_0195,600,20,20,1.0,0.3,0.5,0.5,thermal_residence_sensitivity
reactor_0196,600,20,20,1.0,0.3,0.5,2.0,thermal_residence_sensitivity
reactor_0197,750,5,5,1.0,0.3,0.5,0.5,thermal_residence_sensitivity
reactor_0198,750,5,5,1.0,0.3,0.5,2.0,thermal_residence_sensitivity
reactor_0199,750,5,20,1.0,0.3,0.5,0.5,thermal_residence_sensitivity
reactor_0200,750,5,20,1.0,0.3,0.5,2.0,thermal_residence_sensitivity
reactor_0201,750,20,5,1.0,0.3,0.5,0.5,thermal_residence_sensitivity
reactor_0202,750,20,5,1.0,0.3,0.5,2.0,thermal_residence_sensitivity
reactor_0203,750,20,20,1.0,0.3,0.5,0.5,thermal_residence_sensitivity
reactor_0204,750,20,20,1.0,0.3,0.5,2.0,thermal_residence_sensitivity
reactor_0205,600,5,5,1.2,0.5,0.5,0.0,thermal_residence_sensitivity
reactor_0206,600,5,5,1.2,0.5,0.5,0.5,thermal_residence_sensitivity
reactor_0207,600,5,5,1.2,0.5,0.5,2.0,thermal_residence_sensitivity
reactor_0208,600,5,20,1.2,0.5,0.5,0.0,thermal_residence_sensitivity
reactor_0209,600,5,20,1.2,0.5,0.5,0.5,thermal_residence_sensitivity
reactor_0210,600,5,20,1.2,0.5,0.5,2.0,thermal_residence_sensitivity
reactor_0211,600,20,5,1.2,0.5,0.5,0.0,thermal_residence_sensitivity
reactor_0212,600,20,5,1.2,0.5,0.5,0.5,thermal_residence_sensitivity
reactor_0213,600,20,5,1.2,0.5,0.5,2.0,thermal_residence_sensitivity
reactor_0214,600,20,20,1.2,0.5,0.5,0.0,thermal_residence_sensitivity
reactor_0215,600,20,20,1.2,0.5,0.5,0.5,thermal_residence_sensitivity
reactor_0216,600,20,20,1.2,0.5,0.5,2.0,thermal_residence_sensitivity
reactor_0217,750,5,5,1.2,0.5,0.5,0.5,thermal_residence_sensitivity
reactor_0218,750,5,5,1.2,0.5,0.5,2.0,thermal_residence_sensitivity
reactor_0219,750,5,20,1.2,0.5,0.5,0.5,thermal_residence_sensitivity
reactor_0220,750,5,20,1.2,0.5,0.5,2.0,thermal_residence_sensitivity
reactor_0221,750,20,5,1.2,0.5,0.5,0.5,thermal_residence_sensitivity
reactor_0222,750,20,5,1.2,0.5,0.5,2.0,thermal_residence_sensitivity
reactor_0223,750,20,20,1.2,0.5,0.5,0.5,thermal_residence_sensitivity
reactor_0224,750,20,20,1.2,0.5,0.5,2.0,thermal_residence_sensitivity
reactor_0225,600,5,5,1.0,0.7,0.5,0.0,thermal_residence_sensitivity
reactor_0226,600,5,5,1.0,0.7,0.5,0.5,thermal_residence_sensitivity
reactor_0227,600,5,5,1.0,0.7,0.5,2.0,thermal_residence_sensitivity
reactor_0228,600,5,20,1.0,0.7,0.5,0.0,thermal_residence_sensitivity
reactor_0229,600,5,20,1.0,0.7,0.5,0.5,thermal_residence_sensitivity
reactor_0230,600,5,20,1.0,0.7,0.5,2.0,thermal_residence_sensitivity
reactor_0231,600,20,5,1.0,0.7,0.5,0.0,thermal_residence_sensitivity
reactor_0232,600,20,5,1.0,0.7,0.5,0.5,thermal_residence_sensitivity
reactor_0233,600,20,5,1.0,0.7,0.5,2.0,thermal_residence_sensitivity
reactor_0234,600,20,20,1.0,0.7,0.5,0.0,thermal_residence_sensitivity
reactor_0235,600,20,20,1.0,0.7,0.5,0.5,thermal_residence_sensitivity
reactor_0236,600,20,20,1.0,0.7,0.5,2.0,thermal_residence_sensitivity
reactor_0237,750,5,5,1.0,0.7,0.5,0.5,thermal_residence_sensitivity
reactor_0238,750,5,5,1.0,0.7,0.5,2.0,thermal_residence_sensitivity
reactor_0239,750,5,20,1.0,0.7,0.5,0.5,thermal_residence_sensitivity
reactor_0240,750,5,20,1.0,0.7,0.5,2.0,thermal_residence_sensitivity
reactor_0241,750,20,5,1.0,0.7,0.5,0.5,thermal_residence_sensitivity
reactor_0242,750,20,5,1.0,0.7,0.5,2.0,thermal_residence_sensitivity
reactor_0243,750,20,20,1.0,0.7,0.5,0.5,thermal_residence_sensitivity
reactor_0244,750,20,20,1.0,0.7,0.5,2.0,thermal_residence_sensitivity
reactor_0245,750,10,10,0.7,0.1,0.3,0.0,psr_fraction_sensitivity
reactor_0246,750,10,10,0.7,0.1,0.5,0.0,psr_fraction_sensitivity
reactor_0247,750,10,10,0.7,0.1,0.7,0.0,psr_fraction_sensitivity
reactor_0248,750,10,10,1.0,0.3,0.3,0.0,psr_fraction_sensitivity
reactor_0249,750,10,10,1.0,0.3,0.7,0.0,psr_fraction_sensitivity
reactor_0250,750,10,10,1.2,0.5,0.3,0.0,psr_fraction_sensitivity
reactor_0251,750,10,10,1.2,0.5,0.7,0.0,psr_fraction_sensitivity
reactor_0252,750,10,10,1.0,0.7,0.3,0.0,psr_fraction_sensitivity
reactor_0253,750,10,10,1.0,0.7,0.7,0.0,psr_fraction_sensitivity
