source_file,status,rows,error,file_doi,rkd_format_version,record_version,first_publication_date,last_modification_date
x20101076.xml,parsed,3,,10.24388/x20101076,2.4,2.0,2023-03-13,2023-03-13
x20101077.xml,parsed,9,,10.24388/x20101077,2.4,2.0,2023-03-13,2023-03-13
x20101078.xml,parsed,10,,10.24388/x20101078,2.4,2.0,2023-03-13,2023-03-13
x20101079.xml,parsed,10,,10.24388/x20101079,2.4,2.0,2023-03-13,2023-03-13
x20199002.xml,parsed,5,,10.24388/x20199002,2.4,2.0,2023-08-03,2023-08-03
x20199003.xml,parsed,4,,10.24388/x20199003,2.4,2.0,2023-08-03,2023-08-03
x20199004.xml,parsed,4,,10.24388/x20199004,2.4,2.0,2023-08-03,2023-08-03
x20199005.xml,parsed,9,,10.24388/x20199005,2.4,2.0,2023-08-03,2023-08-03
x20199006.xml,parsed,4,,10.24388/x20199006,2.4,2.0,2023-08-03,2023-08-03
x20199007.xml,parsed,3,,10.24388/x20199007,2.4,2.0,2023-08-03,2023-08-03
x20199008.xml,parsed,10,,10.24388/x20199008,2.4,2.0,2023-08-03,2023-08-03
x20199009.xml,parsed,4,,10.24388/x20199009,2.4,2.0,2023-08-03,2023-08-03
x20199010.xml,parsed,5,,10.24388/x20199010,2.4,2.0,2023-08-03,2023-08-03
x20199011.xml,parsed,5,,10.24388/x20199011,2.4,2.0,2023-08-03,2023-08-03
x20199012.xml,parsed,10,,10.24388/x20199012,2.4,2.0,2023-08-03,2023-08-03
x20199013.xml,parsed,10,,10.24388/x20199013,2.4,2.0,2023-08-03,2023-08-03
x20199014.xml,parsed,10,,10.24388/x20199014,2.4,2.0,2023-08-03,2023-08-03
x20199015.xml,parsed,5,,10.24388/x20199015,2.4,2.0,2023-08-03,2023-08-03
x20199016.xml,parsed,6,,10.24388/x20199016,2.4,2.0,2023-08-03,2023-08-03
x20199017.xml,parsed,5,,10.24388/x20199017,2.4,2.0,2023-08-03,2023-08-03
x20199018.xml,parsed,9,,10.24388/x20199018,2.4,2.0,2023-08-03,2023-08-03
x20199019.xml,parsed,9,,10.24388/x20199019,2.4,2.0,2023-08-03,2023-08-03
x20199020.xml,parsed,9,,10.24388/x20199020,2.4,2.0,2023-08-03,2023-08-03
x20199021.xml,parsed,4,,10.24388/x20199021,2.4,2.0,2023-08-03,2023-08-03
x20199022.xml,parsed,4,,10.24388/x20199022,2.4,2.0,2023-08-03,2023-08-03
x20199023.xml,parsed,4,,10.24388/x20199023,2.4,2.0,2023-08-03,2023-08-03
x20199024.xml,parsed,4,,10.24388/x20199024,2.4,2.0,2023-08-03,2023-08-03
x20199025.xml,parsed,4,,10.24388/x20199025,2.4,2.0,2023-08-03,2023-08-03
x20199026.xml,parsed,4,,10.24388/x20199026,2.4,2.0,2023-08-03,2023-08-03
x20199027.xml,parsed,3,,10.24388/x20199027,2.4,2.0,2023-08-03,2023-08-03
x20199028.xml,parsed,4,,10.24388/x20199028,2.4,2.0,2023-08-03,2023-08-03
x20199029.xml,parsed,5,,10.24388/x20199029,2.4,2.0,2023-08-03,2023-08-03
x20199030.xml,parsed,6,,10.24388/x20199030,2.4,2.0,2023-08-03,2023-08-03
x20199031.xml,parsed,7,,10.24388/x20199031,2.4,2.0,2023-08-03,2023-08-03
x20199032.xml,parsed,7,,10.24388/x20199032,2.4,2.0,2023-08-03,2023-08-03
x20199033.xml,parsed,3,,10.24388/x20199033,2.4,2.0,2023-08-03,2023-08-03
x20199034.xml,parsed,4,,10.24388/x20199034,2.4,2.0,2023-08-03,2023-08-03
x20199035.xml,parsed,6,,10.24388/x20199035,2.4,2.0,2023-08-03,2023-08-03
x20199036.xml,parsed,6,,10.24388/x20199036,2.4,2.0,2023-08-03,2023-08-03
x20199037.xml,parsed,6,,10.24388/x20199037,2.4,2.0,2023-08-03,2023-08-03
x20199038.xml,parsed,4,,10.24388/x20199038,2.4,2.0,2023-08-03,2023-08-03
x20199039.xml,parsed,4,,10.24388/x20199039,2.4,2.0,2023-08-03,2023-08-03
x20199040.xml,parsed,6,,10.24388/x20199040,2.4,2.0,2023-08-03,2023-08-03
x20199041.xml,parsed,6,,10.24388/x20199041,2.4,2.0,2023-08-03,2023-08-03
x20199042.xml,parsed,6,,10.24388/x20199042,2.4,2.0,2023-08-03,2023-08-03
x20199043.xml,parsed,4,,10.24388/x20199043,2.4,2.0,2023-08-03,2023-08-03
x20199044.xml,parsed,6,,10.24388/x20199044,2.4,2.0,2023-08-03,2023-08-03
x20199045.xml,parsed,6,,10.24388/x20199045,2.4,2.0,2023-08-03,2023-08-03
x20199046.xml,parsed,6,,10.24388/x20199046,2.4,2.0,2023-08-03,2023-08-03
x20199047.xml,parsed,6,,10.24388/x20199047,2.4,2.0,2023-08-03,2023-08-03
x20199048.xml,parsed,3,,10.24388/x20199048,2.4,2.0,2023-08-03,2023-08-03
x20199049.xml,parsed,4,,10.24388/x20199049,2.4,2.0,2023-08-03,2023-08-03
x20199050.xml,parsed,8,,10.24388/x20199050,2.4,2.0,2023-08-03,2023-08-03
x20199051.xml,parsed,9,,10.24388/x20199051,2.4,2.0,2023-08-03,2023-08-03
x20199052.xml,parsed,11,,10.24388/x20199052,2.4,2.0,2023-08-03,2023-08-03
x20199053.xml,parsed,8,,10.24388/x20199053,2.4,2.0,2023-08-03,2023-08-03
x20199054.xml,parsed,3,,10.24388/x20199054,2.4,2.0,2023-08-03,2023-08-03
x30100001.xml,parsed,18,,10.24388/x30100001,2.4,2.0,2023-03-13,2023-03-13
x30101006.xml,parsed,18,,10.24388/x30101006,2.4,2.0,2023-03-13,2023-03-13
x30199001.xml,parsed,21,,10.24388/x30199001,2.4,2.0,2020-02-23,2023-03-09
x30199003.xml,parsed,29,,10.24388/x30199003,2.4,2.0,2020-02-23,2023-03-09
x30199006.xml,parsed,18,,10.24388/x30199006,2.4,2.0,2023-03-13,2023-03-13
x30199007.xml,parsed,14,,10.24388/x30199007,2.4,2.0,2023-03-13,2023-03-13
x30199009.xml,parsed,12,,10.24388/x30199009,2.4,2.0,2023-03-13,2023-03-13
x30199011.xml,parsed,12,,10.24388/x30199011,2.4,2.0,2023-05-18,2023-05-18
x30199013.xml,parsed,10,,10.24388/x30199013,2.4,2.0,2023-05-18,2023-05-18
x30199015.xml,parsed,13,,10.24388/x30199015,2.4,2.0,2023-03-13,2023-03-13
x30199017.xml,parsed,9,,10.24388/x30199017,2.4,2.0,2023-03-13,2023-03-13
x30199018.xml,parsed,45,,10.24388/x30199018,2.4,2.0,2023-03-13,2023-03-13
x30199019.xml,parsed,8,,10.24388/x30199019,2.4,2.0,2023-03-13,2023-03-13
x30199020.xml,parsed,16,,10.24388/x30199020,2.4,2.0,2023-03-13,2023-03-13
