mechanism_id,location,temperature_K,pressure_bar,target_species,absolute_rank,reaction_index,reaction_equation,production_contribution_kmol_m3_s,normalized_absolute_contribution,direction
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH2,9,36,NH2 + O2 <=> H2NO + O,1.9465332872648313e-07,0.0031786039598178557,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH2,10,47,NH2OH (+M) <=> NH2 + OH (+M),1.597909067482837e-07,0.0026093158142015244,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH2,11,32,NH2 + O <=> NH + OH,1.3215619399714666e-07,0.0021580530078889686,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,NH2,12,25,NH3 + OH <=> H2O + NH2,9.22046716382921e-08,0.0015056620726738477,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,HNO,1,79,NH + OH <=> H + HNO,-0.00036328055713910395,0.456994218042439,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,HNO,2,142,HNO <=> H + NO,0.00023132985242933085,0.29100485270488874,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,HNO,3,143,H + HNO <=> H2 + NO,0.00013520497628688281,0.1700831250102143,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,HNO,4,29,NH2 + O <=> H + HNO,-1.586619029626433e-05,0.01995911172580992,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,HNO,5,138,NNH + NO <=> HNO + N2,9.502080946382726e-06,0.01195328504796744,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,HNO,6,149,HNO + NO <=> N2O + OH,-9.164072134849274e-06,0.011528081800827967,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,HNO,7,30,NH2 + O <=> H + HNO,-6.925682195025153e-06,0.008712265649587329,consumption
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,HNO,8,145,HNO + OH <=> H + HONO,6.794141703522847e-06,0.008546792318098255,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,HNO,9,144,HNO + O <=> NO + OH,6.378191705838838e-06,0.00802354178844337,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,HNO,10,146,HNO + OH <=> H2O + NO,4.508486129580673e-06,0.005671517654477642,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,HNO,11,147,HNO + O2 <=> HO2 + NO,3.459793168490477e-06,0.004352298636828659,production
POLIMI_2023,pfr_outlet,2350.37318008055,4.999999999999999,HNO,12,81,NH + O2 <=> HNO + O,-8.641814302462067e-07,0.0010871099738237312,consumption
Konnov_2026,psr_steady,2328.146835835315,4.999999999999999,NO,1,354,H + N2O <=> NH + NO,-0.1428334223366578,0.2142796263799617,consumption
Konnov_2026,psr_steady,2328.146835835315,4.999999999999999,NO,2,296,H + HNO <=> H2 + NO,0.09327498138528678,0.13993173190745248,production
