mechanism_id,reaction_index,reaction_equation,normalized_flame_speed_sensitivity,absolute_sensitivity,absolute_rank,reaction_family,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,flame_speed_m_per_s
POLIMI_2023,31,NH2 + O <=> NH + OH,0.007486380655734969,0.007486380655734969,39,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,88,N + OH <=> H + NO,-0.007427090593484293,0.007427090593484293,40,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,165,H + H2NO <=> NH2 + OH,0.007319347491876035,0.007319347491876035,41,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,187,N2O (+M) <=> N2 + O (+M),0.006986832219513494,0.006986832219513494,42,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,7,H + O + M <=> OH + M,-0.006797452609771967,0.006797452609771967,43,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,34,NH2 + OH <=> H2O + NH,-0.005871421415995496,0.005871421415995496,44,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,17,HO2 + OH <=> H2O + O2,-0.005524510682615599,0.005524510682615599,45,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,85,NH + NO <=> N2 + OH,-0.0052629894622702265,0.0052629894622702265,46,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,32,NH2 + O <=> NH + OH,0.004457627125903661,0.004457627125903661,47,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,16,HO2 + O <=> O2 + OH,-0.00430111994440105,0.00430111994440105,48,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,132,NNH + O <=> NH + NO,0.004255698668255906,0.004255698668255906,49,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,36,NH2 + O2 <=> H2NO + O,-0.004034157532596501,0.004034157532596501,50,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,90,N + NO <=> N2 + O,-0.0037288332284025416,0.0037288332284025416,51,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,47,NH2OH (+M) <=> NH2 + OH (+M),-0.0037015630661747442,0.0037015630661747442,52,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,0,H2 + M <=> 2 H + M,-0.003258498952337458,0.003258498952337458,53,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,164,H + H2NO <=> H2 + HNO,-0.0027921739514082124,0.0027921739514082124,54,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,41,2 NH => H2 + N2,-0.002753756682897638,0.002753756682897638,55,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,138,NNH + NO <=> HNO + N2,-0.0024280890160457386,0.0024280890160457386,56,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,189,H + N2O <=> N2 + OH,0.0020967528104788424,0.0020967528104788424,57,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,148,HNO + NH2 <=> NH3 + NO,-0.001992729791290594,0.001992729791290594,58,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,43,2 NH2 <=> NH + NH3,0.0019116811584681114,0.0019116811584681114,59,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,83,N + NH <=> H + N2,-0.001598330611466097,0.001598330611466097,60,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,92,H + N2H4 <=> H2 + N2H3,-0.0014124871289006382,0.0014124871289006382,61,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,112,H + N2H2 <=> H2 + NNH,-0.0012889553942575843,0.0012889553942575843,62,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,71,HNOH + NH2 <=> H2NN + H2O,0.001203890091646025,0.001203890091646025,63,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,180,H + NO2 <=> NO + OH,0.0011781585081370796,0.0011781585081370796,64,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,110,N2H2 <=> H + NNH,0.0010570920467786625,0.0010570920467786625,65,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,115,N2H2 + NO <=> N2O + NH2,0.0010509615683655061,0.0010509615683655061,66,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,113,N2H2 + O <=> NNH + OH,0.0010031061917263743,0.0010031061917263743,67,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,102,N2H3 + O <=> HNO + NH2,-0.0010008961972773414,0.0010008961972773414,68,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,121,H2NN + O2 <=> NH2 + NO2,-0.0009041009853899293,0.0009041009853899293,69,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,8,H2O2 (+M) <=> 2 OH (+M),0.0008626719756025032,0.0008626719756025032,70,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,162,H2NO <=> HNOH,0.0008310407731247346,0.0008310407731247346,71,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,111,N2H2 <=> H + NNH,0.0007983117239117781,0.0007983117239117781,72,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,145,HNO + OH <=> H + HONO,0.0007860485042745394,0.0007860485042745394,73,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,9,H + H2O2 <=> H2O + OH,-0.0007623517400367935,0.0007623517400367935,74,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,134,NNH + OH <=> H2O + N2,-0.000744368172288634,0.000744368172288634,75,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,100,N2H3 <=> H + N2H2,0.0007206350401345109,0.0007206350401345109,76,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,39,NH + NH2 <=> N + NH3,-0.0007090411577329191,0.0007090411577329191,77,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,95,N2H4 + OH <=> H2O + N2H3,-0.0007015949899434965,0.0007015949899434965,78,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,13,H2O2 + OH <=> H2O + HO2,-0.0006960703062903134,0.0006960703062903134,79,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,81,NH + O2 <=> HNO + O,0.0006878282923638905,0.0006878282923638905,80,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,94,N2H4 + O <=> H2O + N2H2,-0.0006676867461383583,0.0006676867461383583,81,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,120,H2NN <=> H + NNH,0.0006623063396267046,0.0006623063396267046,82,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,114,N2H2 + OH <=> H2O + NNH,0.0006399408991842471,0.0006399408991842471,83,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,144,HNO + O <=> NO + OH,0.0006042375539138712,0.0006042375539138712,84,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,82,NH + O2 <=> NO + OH,0.0005520709738638026,0.0005520709738638026,85,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,63,H + HNOH <=> H2 + HNO,-0.0005233455954190171,0.0005233455954190171,86,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,128,H2NN + HO2 <=> H2O2 + NNH,0.0005164065689762789,0.0005164065689762789,87,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,172,H2NO + HO2 <=> H2O2 + HNO,0.0004920253444639992,0.0004920253444639992,88,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,19,2 HO2 <=> H2O2 + O2,0.0004648817612296848,0.0004648817612296848,89,H/O radical chemistry,300.0,5.0,1.0,0.4,0.2044300141152792
POLIMI_2023,96,N2H4 + NH2 <=> N2H3 + NH3,-0.0004288503569234758,0.0004288503569234758,90,NHx conversion,300.0,5.0,1.0,0.4,0.2044300141152792
