mechanism_id,reaction_index,reaction_equation,normalized_flame_speed_sensitivity,absolute_sensitivity,absolute_rank,reaction_family,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,flame_speed_m_per_s
Konnov_2026,182,HO2 + NNH <=> O2 + cHNNH,0.0007531970015713545,0.0007531970015713545,92,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,55,H + HO2 <=> H2O + O(1D),0.0007359423357198387,0.0007359423357198387,93,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,266,N2H4 + O <=> N2H3 + OH,0.0006695488048746045,0.0006695488048746045,94,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,215,H + cHNNH <=> H + tHNNH,-0.0006661966816991369,0.0006661966816991369,95,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,226,N2H3 <=> H + cHNNH,0.0006539205350052933,0.0006539205350052933,96,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,20,2 HO2 <=> H2O2 + O2,0.0006240463853270588,0.0006240463853270588,97,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,378,H + NO2 <=> NO + OH,-0.0006172385622165268,0.0006172385622165268,98,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,265,N2H4 + O <=> N2H3 + OH,0.0005844588101000307,0.0005844588101000307,99,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,78,N + O2 <=> NO + O,0.0005450689152200306,0.0005450689152200306,100,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,90,NH + O2 <=> HNO + O,0.0005203149142662221,0.0005203149142662221,101,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,299,HNO + OH <=> H + HONO,0.0004943693756635923,0.0004943693756635923,102,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,175,H + NNH <=> H2 + N2,-0.00045948142202410016,0.00045948142202410016,103,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,74,2 H + O2 <=> 2 OH,-0.0004500082192090996,0.0004500082192090996,104,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,75,H + O + O2 <=> OH + O2,-0.000422017208131406,0.000422017208131406,105,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,127,HO2 + NH2 <=> H2O2 + NH,0.00040684197943104627,0.00040684197943104627,106,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,124,HO2 + NH2 <=> H2O + HNO,0.00038714028383521874,0.00038714028383521874,107,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,206,O + tHNNH <=> NNH + OH,0.00036692430696940457,0.00036692430696940457,108,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,313,H + HNO (+M) <=> H2NO (+M),-0.0003359835673349607,0.0003359835673349607,109,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,318,H2NO + OH <=> H2O + HNO,-0.00030185977396680696,0.00030185977396680696,110,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,2,2 H + N2 <=> H2 + N2,-0.00029839819911071886,0.00029839819911071886,111,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,237,N2H3 + OH <=> H2NN + H2O,-0.0002982145403363627,0.0002982145403363627,112,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,238,N2H3 + O2 <=> HO2 + tHNNH,-0.00028696176610853123,0.00028696176610853123,113,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,88,HO2 + NH <=> HNO + OH,-0.0002863263939908144,0.0002863263939908144,114,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,320,H2NO + HO2 <=> H2O2 + HNO,0.0002861840238949264,0.0002861840238949264,115,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,143,NH2 + NO2 <=> H2O + N2O,-0.000271487371953692,0.000271487371953692,116,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,408,HONO + NH <=> NH2 + NO2,0.0002650113329193204,0.0002650113329193204,117,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,36,H + O2* <=> H + O2,-0.00025673072970419083,0.00025673072970419083,118,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,323,H + HNO (+M) <=> HNOH (+M),-0.0002491888103846325,0.0002491888103846325,119,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,147,2 NH2 <=> H2 + tHNNH,0.0002473053449529793,0.0002473053449529793,120,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,339,NH2OH + OH <=> H2O + HNOH,-0.0002365806298319372,0.0002365806298319372,121,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,307,HNO + NH2 <=> NH3 + NO,-0.00023597303385461545,0.00023597303385461545,122,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,314,H2NO (+M) <=> H2 + NO (+M),0.0002308253522038986,0.0002308253522038986,123,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,51,O2* + OH <=> HO2 + O,-0.0002267808237117874,0.0002267808237117874,124,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,218,OH + cHNNH <=> H2O + NNH,-0.00021141234397149773,0.00021141234397149773,125,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,225,N2H3 (+M) <=> H + tHNNH (+M),0.00020951747691747428,0.00020951747691747428,126,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,297,HNO + O <=> NO + OH,-0.000208801404233589,0.000208801404233589,127,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,138,N2O + NH2 <=> H2NN + NO,0.00020093294497519257,0.00020093294497519257,128,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,317,H2NO + O <=> HNO + OH,-0.00019530532102936913,0.00019530532102936913,129,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,311,HNO + NO2 <=> HONO + NO,0.0001902157133750231,0.0001902157133750231,130,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,229,H + N2H3 <=> H2 + H2NN,-0.00018570166133687318,0.00018570166133687318,131,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,340,NH2OH + OH <=> H2NO + H2O,-0.0001841563700827935,0.0001841563700827935,132,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,219,HO2 + cHNNH <=> H2O2 + NNH,0.0001815113073948998,0.0001815113073948998,133,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,210,NH + tHNNH <=> NH2 + NNH,-0.00017905061284886377,0.00017905061284886377,134,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,267,N2H4 + OH <=> H2O + N2H3,0.00017801476583921658,0.00017801476583921658,135,H/O radical chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,325,H + HNOH <=> H2 + HNO,-0.00017490272723595017,0.00017490272723595017,136,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,349,N2O + O <=> 2 NO,-0.0001727881087265767,0.0001727881087265767,137,NOx/N2O chemistry,300.0,5.0,1.0,0.4,0.14585381686840238
Konnov_2026,178,NNH + OH <=> H2O + N2,-0.00016773636142098083,0.00016773636142098083,138,NHx conversion,300.0,5.0,1.0,0.4,0.14585381686840238
