design_id,design_role,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,criterion,reactor,status,ignition_delay_s,final_temperature_K,max_temperature_K,integration_steps,converged,failure_reason,runtime_s
map_0100,training,True,False,POLIMI_2023,1800,20,1.1,0.0,max_dTdt,constant_volume,completed,2.41150581828597e-05,3242.525039046063,3242.5250390906913,1918,True,,0.16059290000339388
map_0101,training,True,False,POLIMI_2023,1600,5,1.2,0.3,max_dTdt,constant_volume,completed,1.2609774212675756e-05,3072.500745395289,3072.5007453990456,1554,True,,0.15058230000067852
map_0102,training,True,False,POLIMI_2023,1800,5,1.2,0.3,max_dTdt,constant_volume,completed,7.039585019181579e-06,3136.0662458129773,3136.066245828689,1434,True,,0.12395159999869065
map_0103,training,True,False,POLIMI_2023,1200,5,1.2,0.4,max_dTdt,constant_volume,completed,6.204502030962623e-05,2939.830676286221,2939.8306763207834,1841,True,,0.1464438999973936
map_0104,training,True,False,POLIMI_2023,1400,5,1.0,0.05,max_dTdt,constant_volume,completed,0.00037841111309459656,2967.243443262076,2967.2434432785235,2216,True,,0.16762129999915487
map_0105,training,True,False,POLIMI_2023,1400,10,1.1,0.1,max_dTdt,constant_volume,completed,0.00010791617117399111,3036.7167149311285,3036.716714934686,2198,True,,0.20090759999948204
map_0106,training,True,False,POLIMI_2023,1600,5,0.8,0.0,max_dTdt,constant_volume,completed,0.0003250171410138328,2950.9652930888583,2950.9652931350215,2148,True,,0.1953032000019448
map_0107,training,True,False,POLIMI_2023,1600,10,1.2,0.1,max_dTdt,constant_volume,completed,3.119227704151785e-05,3110.0190133926676,3110.0190134492345,1883,True,,0.16549400000076275
map_0108,training,True,False,POLIMI_2023,1600,20,1.0,0.0,max_dTdt,constant_volume,completed,0.0001107963872583139,3147.4019620728623,3147.4019620864187,2170,True,,0.2173179000019445
map_0109,training,True,False,POLIMI_2023,1800,20,0.8,0.1,max_dTdt,constant_volume,completed,7.227191302830648e-06,3147.699330249771,3147.6993303082677,1726,True,,0.16947609999988344
map_0110,training,True,False,POLIMI_2023,1600,5,0.6,0.1,max_dTdt,constant_volume,completed,4.715818285125368e-05,2794.184302845045,2794.18430292586,1816,True,,0.1617794000012509
map_0111,training,True,False,POLIMI_2023,1600,5,0.9,0.05,max_dTdt,constant_volume,completed,9.769603864457325e-05,3007.1314592816943,3007.131459345533,1925,True,,0.15805729999920004
map_0112,training,True,False,POLIMI_2023,1600,10,0.7,0.05,max_dTdt,constant_volume,completed,6.001282917259254e-05,2921.269984596503,2921.5376077096766,1832,True,,0.14969719999862718
map_0113,training,True,False,POLIMI_2023,1600,10,1.0,0.05,max_dTdt,constant_volume,completed,6.0769060688429055e-05,3096.8103755505754,3096.8103756117766,1962,True,,0.1873844999972789
map_0114,training,True,False,POLIMI_2023,1600,20,0.7,0.05,max_dTdt,constant_volume,completed,4.144242939488115e-05,2955.0845691439017,2957.522025878828,2090,True,,0.17272349999984726
map_0115,training,True,False,POLIMI_2023,1800,5,0.7,0.05,max_dTdt,constant_volume,completed,3.5565361214292495e-05,2972.7026724325196,2972.7026724904217,1707,True,,0.15322740000192425
map_0116,training,True,False,POLIMI_2023,1800,5,0.8,0.0,max_dTdt,constant_volume,completed,7.266275695844437e-05,3030.229224527653,3030.2292245545664,1888,True,,0.17109789999813074
map_0117,training,True,False,POLIMI_2023,1800,5,1.0,0.0,max_dTdt,constant_volume,completed,7.626456321829656e-05,3099.9496867739736,3099.9496868200345,1778,True,,0.15465270000277087
map_0118,training,True,False,POLIMI_2023,1800,10,0.9,0.05,max_dTdt,constant_volume,completed,2.0540580059966737e-05,3139.8364302759087,3139.836430280827,1817,True,,0.16955720000260044
map_0119,training,True,False,POLIMI_2023,1800,20,0.6,0.0,max_dTdt,constant_volume,completed,2.315831229634785e-05,2958.2534762029095,2963.507341561403,1949,True,,0.16572820000146748
map_0120,training,True,False,POLIMI_2023,1600,10,1.4,0.0,max_dTdt,constant_volume,completed,0.00019797693597137675,3050.679114422448,3073.4925837517303,2180,True,,0.15362249999816413
