design_id,design_role,inside_experimental_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,status,laminar_burning_velocity_m_per_s,max_temperature_K,grid_points,transport_model,soret_enabled,failure_reason,runtime_s,thermo_min_temperature_K,thermo_max_temperature_K,within_mechanism_thermo_range,surrogate_m_per_s,surrogate_90_low_m_per_s,surrogate_90_high_m_per_s,surrogate_log_standard_deviation,surrogate_relative_error,surrogate_log_error,surrogate_interval_covered
map_0131,interpolation_holdout,True,MEI_2019,300,1,1.4,0.3,completed,0.1834909481657022,1921.783554779014,158,multicomponent,True,,7.431956099999297,300,3000,True,0.182421680268065,0.1765769869240506,0.1884598327988094,0.0197957227266856,0.0058273604683296,0.0058444057850709,True
map_0132,interpolation_holdout,True,MEI_2019,450,1,0.9,0.0,completed,0.1223794743601039,2063.352617967869,179,multicomponent,True,,10.198585699999969,300,3000,True,0.1216856454319312,0.1174137203150662,0.1261129982463014,0.0217247865861351,0.0056694877290536,0.0056856202790337,True
map_0133,interpolation_holdout,False,MEI_2019,600,10,1.0,0.3,completed,0.4288560356722789,2333.4241382450373,193,multicomponent,True,,6.857680099999925,300,3000,True,0.4230571899912905,0.4051311746722495,0.4417763855080253,0.0263200413901195,0.0135216604143115,0.0136139105920591,True
map_0134,interpolation_holdout,False,MEI_2019,450,1,0.7,0.7,completed,1.0569506768181736,1911.6518323780567,181,multicomponent,True,,6.051960900000267,300,3000,True,1.0930523033022952,1.0202159914073825,1.1710886202697952,0.0419207901910769,0.0341563965811549,0.0335860185954707,True
map_0135,interpolation_holdout,False,MEI_2019,750,1,0.6,0.05,completed,0.2531571166379867,1928.726317252788,175,multicomponent,True,,7.074268200000006,300,3000,True,0.2635658694785122,0.2533275812298687,0.2742179403312978,0.0240850316744863,0.041115782083306,0.0402930054301681,False
map_0136,interpolation_holdout,False,MEI_2019,300,20,1.4,0.7,completed,0.2749026386912087,2036.719914133384,199,multicomponent,True,,31.32359069999984,300,3000,True,0.2994111771593878,0.2805898328218347,0.3194950155763242,0.0394673980823237,0.0891535220791713,0.085400809294055,False
map_0137,interpolation_holdout,False,MEI_2019,750,1,1.4,0.5,completed,2.6320660884527705,2261.201678753994,175,multicomponent,True,,4.77289380000002,300,3000,True,2.515032015254657,2.280282050350717,2.773948966875843,0.059566195492201,0.0444647167909491,0.0454835895481459,True
map_0138,interpolation_holdout,False,MEI_2019,300,5,0.6,0.0,completed,0.0070428225992975,1584.278149323759,175,multicomponent,True,,9.207088000000113,300,3000,True,0.0074652606701187,0.0070464958328287,0.0079089122018894,0.0350941647933101,0.0599813590169699,0.058251322136296,False
map_0139,interpolation_holdout,False,MEI_2019,300,10,1.4,0.0,completed,0.0366579650239598,1888.7107319893355,168,multicomponent,True,,6.694206199999826,300,3000,True,0.0367679113127516,0.0359282021023218,0.0376272460963196,0.0140443335033408,0.0029992469227362,0.0029947581547272,True
map_0140,interpolation_holdout,False,MEI_2019,300,20,0.7,0.7,completed,0.1056806970271513,1827.001944012054,210,multicomponent,True,,59.25903560000097,300,3000,True,0.0972329609726682,0.0886919164655539,0.1065965093130473,0.0558911896041895,0.0799364149946195,0.0833124971910398,True
map_0141,interpolation_holdout,False,MEI_2019,750,5,0.6,0.7,completed,1.9040556231261951,2011.7007464448936,171,multicomponent,True,,5.8728790000004665,300,3000,True,1.7074482107638058,1.583682772706125,1.840885966991265,0.045742843755442,0.1032571790311394,0.1089861682122048,False
map_0142,interpolation_holdout,False,MEI_2019,600,1,1.2,0.0,completed,0.3228273926499694,2165.632833339409,152,multicomponent,True,,3.607410800001162,300,3000,True,0.3251546173217837,0.300833585241898,0.3514418946297584,0.047260532459817,0.0072088822844646,0.0071830224982976,True
map_0143,interpolation_holdout,False,MEI_2019,750,10,1.4,0.7,completed,3.00466478150869,2373.3654281457425,191,multicomponent,True,,10.59416979999878,300,3000,True,2.875935464089285,2.743658812857791,3.014589406979283,0.0286234877467776,0.0428431544881916,0.0437880080513572,True
map_0144,interpolation_holdout,False,MEI_2019,750,10,0.6,0.0,completed,0.1349505919681086,1932.619338195244,172,multicomponent,True,,12.83457350000026,300,3000,True,0.1348729810439628,0.1278097202575194,0.1423265850127305,0.0326996091014559,0.0005751062149037,0.0005752716519152,True
map_0121,interpolation_holdout,True,MEI_2021,300,1,1.0,0.2,completed,0.1507511977959861,2089.433052363772,188,multicomponent,True,,84.66163610000149,300,3000,True,0.1507130341427687,0.1446362825924818,0.157045094449213,0.0250184786283643,0.0002531565504973,0.000253188600026,True
map_0122,interpolation_holdout,True,MEI_2021,300,10,1.4,0.2,completed,0.0496790539227027,1940.2920786856628,183,multicomponent,True,,12.206834799999342,300,3000,True,0.0496607003933834,0.0480398580940361,0.0513362291523413,0.02017193948883,0.0003694420056343,0.0003695102661448,True
