design_id,pressure_bar,equivalence_ratio,cracking_ratio,support_tier,screening_pareto,exploratory_extrapolative_pareto,reactivity_improved
screen_0241,5,0.9,0.0,extrapolative,False,False,False
screen_0242,5,0.9,0.05,extrapolative,False,False,True
screen_0243,5,0.9,0.1,extrapolative,False,False,True
screen_0244,5,0.9,0.2,extrapolative,False,False,True
screen_0245,5,0.9,0.3,extrapolative,False,False,True
screen_0246,5,0.9,0.4,extrapolative,False,False,True
screen_0247,5,0.9,0.5,extrapolative,False,True,True
screen_0248,5,0.9,0.7,extrapolative,False,True,True
screen_0249,5,1.0,0.0,extrapolative,False,False,False
screen_0250,5,1.0,0.05,extrapolative,False,False,True
screen_0251,5,1.0,0.1,extrapolative,False,False,True
screen_0252,5,1.0,0.2,extrapolative,False,False,True
screen_0253,5,1.0,0.3,extrapolative,False,False,True
screen_0254,5,1.0,0.4,extrapolative,False,False,True
screen_0255,5,1.0,0.5,extrapolative,False,True,True
screen_0256,5,1.0,0.7,mechanism_thermo_extrapolation,False,False,True
screen_0257,5,1.1,0.0,extrapolative,False,False,False
screen_0258,5,1.1,0.05,extrapolative,False,False,True
screen_0259,5,1.1,0.1,extrapolative,False,False,True
screen_0260,5,1.1,0.2,extrapolative,False,False,True
screen_0261,5,1.1,0.3,extrapolative,False,True,True
screen_0262,5,1.1,0.4,extrapolative,False,True,True
screen_0263,5,1.1,0.5,extrapolative,False,False,True
screen_0264,5,1.1,0.7,mechanism_thermo_extrapolation,False,False,True
screen_0265,5,1.2,0.0,extrapolative,False,False,False
screen_0266,5,1.2,0.05,extrapolative,False,False,True
screen_0267,5,1.2,0.1,extrapolative,False,False,True
screen_0268,5,1.2,0.2,extrapolative,False,False,True
screen_0269,5,1.2,0.3,extrapolative,False,False,True
screen_0270,5,1.2,0.4,extrapolative,False,False,True
screen_0271,5,1.2,0.5,extrapolative,False,False,True
screen_0272,5,1.2,0.7,extrapolative,False,False,True
screen_0273,5,1.3,0.0,extrapolative,False,False,False
screen_0274,5,1.3,0.05,extrapolative,False,False,True
screen_0275,5,1.3,0.1,extrapolative,False,False,True
screen_0276,5,1.3,0.2,extrapolative,False,False,True
screen_0277,5,1.3,0.3,extrapolative,False,False,True
screen_0278,5,1.3,0.4,extrapolative,False,False,True
screen_0279,5,1.3,0.5,extrapolative,False,False,True
screen_0280,5,1.3,0.7,extrapolative,False,False,True
screen_0281,5,1.4,0.0,extrapolative,False,False,False
screen_0282,5,1.4,0.05,extrapolative,False,False,True
screen_0283,5,1.4,0.1,extrapolative,False,False,True
screen_0284,5,1.4,0.2,extrapolative,False,False,True
screen_0285,5,1.4,0.3,extrapolative,False,False,True
screen_0286,5,1.4,0.4,extrapolative,False,False,True
screen_0287,5,1.4,0.5,extrapolative,False,False,True
screen_0288,5,1.4,0.7,extrapolative,False,False,True
screen_0289,10,0.6,0.0,extrapolative,False,False,False
screen_0290,10,0.6,0.05,extrapolative,False,False,True
screen_0291,10,0.6,0.1,extrapolative,False,False,True
screen_0292,10,0.6,0.2,extrapolative,False,False,True
screen_0293,10,0.6,0.3,extrapolative,False,False,True
screen_0294,10,0.6,0.4,extrapolative,False,False,True
screen_0295,10,0.6,0.5,extrapolative,False,False,True
screen_0296,10,0.6,0.7,extrapolative,False,True,True
screen_0297,10,0.7,0.0,extrapolative,False,False,False
screen_0298,10,0.7,0.05,extrapolative,False,False,True
screen_0299,10,0.7,0.1,extrapolative,False,False,True
screen_0300,10,0.7,0.2,extrapolative,False,False,True
screen_0301,10,0.7,0.3,extrapolative,False,False,True
screen_0302,10,0.7,0.4,extrapolative,False,False,True
screen_0303,10,0.7,0.5,extrapolative,False,False,True
screen_0304,10,0.7,0.7,extrapolative,False,True,True
screen_0305,10,0.8,0.0,extrapolative,False,False,False
screen_0306,10,0.8,0.05,extrapolative,False,False,True
screen_0307,10,0.8,0.1,extrapolative,False,False,True
screen_0308,10,0.8,0.2,extrapolative,False,False,True
screen_0309,10,0.8,0.3,extrapolative,False,False,True
screen_0310,10,0.8,0.4,extrapolative,False,False,True
screen_0311,10,0.8,0.5,extrapolative,False,False,True
screen_0312,10,0.8,0.7,extrapolative,False,True,True
screen_0313,10,0.9,0.0,extrapolative,False,False,False
screen_0314,10,0.9,0.05,extrapolative,False,False,True
screen_0315,10,0.9,0.1,extrapolative,False,False,True
screen_0316,10,0.9,0.2,extrapolative,False,False,True
screen_0317,10,0.9,0.3,extrapolative,False,False,True
screen_0318,10,0.9,0.4,extrapolative,False,False,True
screen_0319,10,0.9,0.5,extrapolative,False,True,True
screen_0320,10,0.9,0.7,extrapolative,False,True,True
screen_0321,10,1.0,0.0,extrapolative,False,False,False
screen_0322,10,1.0,0.05,extrapolative,False,False,True
screen_0323,10,1.0,0.1,extrapolative,False,False,True
screen_0324,10,1.0,0.2,extrapolative,False,False,True
screen_0325,10,1.0,0.3,extrapolative,False,False,True
screen_0326,10,1.0,0.4,extrapolative,False,False,True
screen_0327,10,1.0,0.5,extrapolative,False,True,True
screen_0328,10,1.0,0.7,mechanism_thermo_extrapolation,False,False,True
screen_0329,10,1.1,0.0,extrapolative,False,False,False
screen_0330,10,1.1,0.05,extrapolative,False,False,True
screen_0331,10,1.1,0.1,extrapolative,False,False,True
screen_0332,10,1.1,0.2,extrapolative,False,False,True
